Country,Data source,Sector,Gas,Unit,2016,2015,2014,2013,2012,2011
Finland,CAIT,Agriculture,CH4,MtCO₂e,2.3,2.31,2.31,2.31,2.31,2.32
Tunisia,CAIT,Agriculture,CH4,MtCO₂e,2.13,2.19,2.22,2.2,2.2,2.29
Albania,CAIT,Agriculture,CH4,MtCO₂e,2.1,2.11,2.1,2.07,2.06,2.03
Lithuania,CAIT,Agriculture,CH4,MtCO₂e,1.92,1.97,1.93,1.98,2.05,2.1
Bulgaria,CAIT,Agriculture,CH4,MtCO₂e,1.83,1.85,1.9,1.79,1.9,1.89
Rwanda,CAIT,Agriculture,CH4,MtCO₂e,1.7,1.79,1.55,1.58,1.57,1.59
Libya,CAIT,Agriculture,CH4,MtCO₂e,1.57,1.57,1.59,1.6,1.58,1.58
Bosnia and Herzegovina,CAIT,Agriculture,CH4,MtCO₂e,1.54,1.56,1.53,1.55,1.54,1.59
El Salvador,CAIT,Agriculture,CH4,MtCO₂e,1.52,1.65,1.7,1.48,1.82,1.68
Togo,CAIT,Agriculture,CH4,MtCO₂e,1.5,1.58,1.37,1.43,1.33,1.41
Croatia,CAIT,Agriculture,CH4,MtCO₂e,1.41,1.41,1.45,1.43,1.5,1.5
Republic of Congo,CAIT,Agriculture,CH4,MtCO₂e,1.36,1.38,1.23,1.35,1.27,1.34
Guyana,CAIT,Agriculture,CH4,MtCO₂e,1.22,1.53,1.48,1.34,1.2,1.17
United Arab Emirates,CAIT,Agriculture,CH4,MtCO₂e,1.22,1.21,1.17,1.08,0.98,0.97
Georgia,CAIT,Agriculture,CH4,MtCO₂e,1.2,1.19,1.42,1.38,1.35,1.23
Slovakia,CAIT,Agriculture,CH4,MtCO₂e,1.13,1.15,1.16,1.18,1.16,1.18
Guinea-Bissau,CAIT,Agriculture,CH4,MtCO₂e,1.11,1.14,1.06,1.12,1.12,1.02
Latvia,CAIT,Agriculture,CH4,MtCO₂e,1.08,1.09,1.07,1.04,1.03,1.03
Slovenia,CAIT,Agriculture,CH4,MtCO₂e,1.08,1.04,1.03,1.04,1.05,1.07
Oman,CAIT,Agriculture,CH4,MtCO₂e,1.04,1.02,1,0.99,0.79,0.78
Burundi,CAIT,Agriculture,CH4,MtCO₂e,0.98,1.15,1.15,1.19,0.99,0.99
Papua New Guinea,CAIT,Agriculture,CH4,MtCO₂e,0.97,0.99,0.98,0.94,0.95,0.93
Gambia,CAIT,Agriculture,CH4,MtCO₂e,0.93,0.94,0.94,0.91,0.84,0.75
Macedonia,CAIT,Agriculture,CH4,MtCO₂e,0.91,0.89,0.87,0.86,0.87,0.93
Armenia,CAIT,Agriculture,CH4,MtCO₂e,0.81,0.79,0.78,0.76,0.68,0.65
Lesotho,CAIT,Agriculture,CH4,MtCO₂e,0.79,0.81,0.82,0.84,0.91,0.91
Timor-Leste,CAIT,Agriculture,CH4,MtCO₂e,0.74,0.7,0.65,0.64,0.69,0.64
Moldova,CAIT,Agriculture,CH4,MtCO₂e,0.73,0.75,0.78,0.77,0.81,0.87
